ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
7776,variation,,Bishop Douglass  Kilt - 24(20),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Bishop%20D/Bishop%20kilt-500x500.jpg,,,BD05,,,,,,1,Waist Size,24(20),,1,1
7777,variation,,Bishop Douglass  Kilt - 26(22)(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Bishop%20D/Bishop%20kilt-500x500.jpg,,,BD05,,,,,,2,Waist Size,26(22)(+£1.00),,1,1
7778,variation,,Bishop Douglass  Kilt - 28(22)(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Bishop%20D/Bishop%20kilt-500x500.jpg,,,BD05,,,,,,3,Waist Size,28(22)(+£2.00),,1,1
7779,variation,,Bishop Douglass  Kilt - 30(22)(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Bishop%20D/Bishop%20kilt-500x500.jpg,,,BD05,,,,,,4,Waist Size,30(22)(+£8.00),,1,1
7780,variation,,Bishop Douglass  Kilt - 32(22)(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Bishop%20D/Bishop%20kilt-500x500.jpg,,,BD05,,,,,,5,Waist Size,32(22)(+£8.00),,1,1
7781,variation,,Bishop Douglass  Kilt - 32(24)(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Bishop%20D/Bishop%20kilt-500x500.jpg,,,BD05,,,,,,6,Waist Size,32(24)(+£8.00),,1,1
7782,variation,,Bishop Douglass  Kilt - 34(24)(+£9.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Bishop%20D/Bishop%20kilt-500x500.jpg,,,BD05,,,,,,7,Waist Size,34(24)(+£9.00),,1,1
7783,variation,,Bishop Douglass  Kilt - 36(24)(+£9.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Bishop%20D/Bishop%20kilt-500x500.jpg,,,BD05,,,,,,8,Waist Size,36(24)(+£9.00),,1,1
7784,variation,,Bishop Douglass  Kilt - 38(24)(+£9.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Bishop%20D/Bishop%20kilt-500x500.jpg,,,BD05,,,,,,9,Waist Size,38(24)(+£9.00),,1,1
7785,variable,BD05,Bishop Douglass  Kilt,1,0,visible,. ,. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,34.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Bishop Douglass Catholic School (Finchley)",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Bishop%20D/Bishop%20kilt-500x500.jpg,,,,,,,,,0,Waist Size,"24(20),26(22)(+£1.00),28(22)(+£2.00),30(22)(+£8.00),32(22)(+£8.00),32(24)(+£8.00),34(24)(+£9.00),36(24)(+£9.00),38(24)(+£9.00)",1,1,1
