ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
3871,variation,,Blue/ White Check Summer Dress With White Collar - Age4/5,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Blue-white%20summer%20dress-500x500.jpg,,,SUMMER3,,,,,,1,Size,Age4/5,,1,1
3872,variation,,Blue/ White Check Summer Dress With White Collar - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Blue-white%20summer%20dress-500x500.jpg,,,SUMMER3,,,,,,2,Size,Age5/6,,1,1
3873,variation,,Blue/ White Check Summer Dress With White Collar - Age6/7,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Blue-white%20summer%20dress-500x500.jpg,,,SUMMER3,,,,,,3,Size,Age6/7,,1,1
3874,variation,,Blue/ White Check Summer Dress With White Collar - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Blue-white%20summer%20dress-500x500.jpg,,,SUMMER3,,,,,,4,Size,Age7/8,,1,1
3875,variation,,Blue/ White Check Summer Dress With White Collar - Age8/9,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Blue-white%20summer%20dress-500x500.jpg,,,SUMMER3,,,,,,5,Size,Age8/9,,1,1
3876,variation,,Blue/ White Check Summer Dress With White Collar - Age9/10(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Blue-white%20summer%20dress-500x500.jpg,,,SUMMER3,,,,,,6,Size,Age9/10(+£1.00),,1,1
3877,variation,,Blue/ White Check Summer Dress With White Collar - Age10/11(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Blue-white%20summer%20dress-500x500.jpg,,,SUMMER3,,,,,,7,Size,Age10/11(+£1.00),,1,1
3878,variation,,Blue/ White Check Summer Dress With White Collar - Age11/12(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Blue-white%20summer%20dress-500x500.jpg,,,SUMMER3,,,,,,8,Size,Age11/12(+£1.00),,1,1
3879,variation,,Blue/ White Check Summer Dress With White Collar - Age12/13(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,14.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Blue-white%20summer%20dress-500x500.jpg,,,SUMMER3,,,,,,9,Size,Age12/13(+£1.00),,1,1
3880,variable,SUMMER3,Blue/ White Check Summer Dress With White Collar,1,0,visible,Style no 3104. ,Style no 3104. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,14.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Primary Schools,Our Lady of Muswell Hill School",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/Blue-white%20summer%20dress-500x500.jpg,,,,,,,,,0,Size,"Age4/5,Age5/6,Age6/7,Age7/8,Age8/9,Age9/10(+£1.00),Age10/11(+£1.00),Age11/12(+£1.00),Age12/13(+£1.00)",1,1,1
