ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
1979,variation,,Boys Charcoal  Regular Fit Trousers - Waist29/32(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST2,,,,,,1,Non - Elastic Waist Size,Waist29/32(IL),,1,1
1980,variation,,Boys Charcoal  Regular Fit Trousers - Waist30/30(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST2,,,,,,2,Non - Elastic Waist Size,Waist30/30(IL),,1,1
1981,variation,,Boys Charcoal  Regular Fit Trousers - Waist30/32(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST2,,,,,,3,Non - Elastic Waist Size,Waist30/32(IL),,1,1
1982,variation,,Boys Charcoal  Regular Fit Trousers - Waist30/34(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST2,,,,,,4,Non - Elastic Waist Size,Waist30/34(IL),,1,1
1983,variation,,Boys Charcoal  Regular Fit Trousers - Waist31/32(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST2,,,,,,5,Non - Elastic Waist Size,Waist31/32(IL),,1,1
1984,variation,,Boys Charcoal  Regular Fit Trousers - Waist32/30(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST2,,,,,,6,Non - Elastic Waist Size,Waist32/30(IL),,1,1
1985,variation,,Boys Charcoal  Regular Fit Trousers - Waist32/32(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST2,,,,,,7,Non - Elastic Waist Size,Waist32/32(IL),,1,1
1986,variation,,Boys Charcoal  Regular Fit Trousers - Waist32/34(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST2,,,,,,8,Non - Elastic Waist Size,Waist32/34(IL),,1,1
1987,variation,,Boys Charcoal  Regular Fit Trousers - Waist34/30(IL)(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST2,,,,,,9,Non - Elastic Waist Size,Waist34/30(IL)(+£2.00),,1,1
1988,variation,,Boys Charcoal  Regular Fit Trousers - Waist34/32(IL)(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST2,,,,,,10,Non - Elastic Waist Size,Waist34/32(IL)(+£2.00),,1,1
