ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
1967,variation,,Boys Grey  Regular Fi Tousers - Waist31/32(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST3,,,,,,1,Non - Elastic Waist Size,Waist31/32(IL),,1,1
1968,variation,,Boys Grey  Regular Fi Tousers - Waist32/30(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST3,,,,,,2,Non - Elastic Waist Size,Waist32/30(IL),,1,1
1969,variation,,Boys Grey  Regular Fi Tousers - Waist32/32(IL),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST3,,,,,,3,Non - Elastic Waist Size,Waist32/32(IL),,1,1
1970,variation,,Boys Grey  Regular Fi Tousers - Waist34/30(IL)(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST3,,,,,,4,Non - Elastic Waist Size,Waist34/30(IL)(+£2.00),,1,1
1971,variation,,Boys Grey  Regular Fi Tousers - Waist34/32(IL)(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST3,,,,,,5,Non - Elastic Waist Size,Waist34/32(IL)(+£2.00),,1,1
1972,variation,,Boys Grey  Regular Fi Tousers - Waist34/34(IL)(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST3,,,,,,6,Non - Elastic Waist Size,Waist34/34(IL)(+£2.00),,1,1
1973,variation,,Boys Grey  Regular Fi Tousers - Waist36/32(IL)(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST3,,,,,,7,Non - Elastic Waist Size,Waist36/32(IL)(+£2.00),,1,1
1974,variation,,Boys Grey  Regular Fi Tousers - Waist36/34(IL)(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST3,,,,,,8,Non - Elastic Waist Size,Waist36/34(IL)(+£2.00),,1,1
1975,variation,,Boys Grey  Regular Fi Tousers - Waist38/34(IL)(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,21.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,ST3,,,,,,9,Non - Elastic Waist Size,Waist38/34(IL)(+£2.00),,1,1
1976,variable,ST3,Boys Grey  Regular Fi Tousers,1,0,visible,Non- Elastic Waist. Style no DL958. ,Non- Elastic Waist. Style no DL958. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,21.95,"Schoolwear,Schoolwear > Basic Schoolwear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/958%20Trouser-500x500.jpg,,,,,,,,,0,Non - Elastic Waist Size,"Waist31/32(IL),Waist32/30(IL),Waist32/32(IL),Waist34/30(IL)(+£2.00),Waist34/32(IL)(+£2.00),Waist34/34(IL)(+£2.00),Waist36/32(IL)(+£2.00),Waist36/34(IL)(+£2.00),Waist38/34(IL)(+£2.00)",1,1,1
