ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
57,variation,,Christ’s College  Boys BLAZER - 28,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,1,Chest Size,28,,1,1
58,variation,,Christ’s College  Boys BLAZER - 30(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,2,Chest Size,30(+£1.00),,1,1
59,variation,,Christ’s College  Boys BLAZER - 32(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,3,Chest Size,32(+£3.00),,1,1
60,variation,,Christ’s College  Boys BLAZER - 34(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,4,Chest Size,34(+£3.00),,1,1
61,variation,,Christ’s College  Boys BLAZER - 36(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,5,Chest Size,36(+£3.00),,1,1
62,variation,,Christ’s College  Boys BLAZER - 38(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,6,Chest Size,38(+£5.00),,1,1
63,variation,,Christ’s College  Boys BLAZER - 40(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,7,Chest Size,40(+£5.00),,1,1
64,variation,,Christ’s College  Boys BLAZER - 42(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,8,Chest Size,42(+£5.00),,1,1
65,variation,,Christ’s College  Boys BLAZER - 44(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,9,Chest Size,44(+£6.00),,1,1
66,variation,,Christ’s College  Boys BLAZER - 46(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,10,Chest Size,46(+£6.00),,1,1
67,variation,,Christ’s College  Boys BLAZER - 48(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,23.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,CC001,,,,,,11,Chest Size,48(+£6.00),,1,1
68,variable,CC001,Christ’s College  Boys BLAZER,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,23.95,"Schoolwear,Schoolwear > Specialist Schoolwear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/CHRIST%20COL%20BOY%20BLAZER-500x500.jpg,,,,,,,,,0,Chest Size,"28,30(+£1.00),32(+£3.00),34(+£3.00),36(+£3.00),38(+£5.00),40(+£5.00),42(+£5.00),44(+£6.00),46(+£6.00),48(+£6.00)",1,1,1
