ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8337,variation,,Compton Boys' Blazer - 28,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,1,Chest Size,28,,1,1
8338,variation,,Compton Boys' Blazer - 30,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,2,Chest Size,30,,1,1
8339,variation,,Compton Boys' Blazer - 32(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,3,Chest Size,32(+£2.00),,1,1
8340,variation,,Compton Boys' Blazer - 34(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,4,Chest Size,34(+£2.00),,1,1
8341,variation,,Compton Boys' Blazer - 36(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,5,Chest Size,36(+£2.00),,1,1
8342,variation,,Compton Boys' Blazer - 38(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,6,Chest Size,38(+£10.00),,1,1
8343,variation,,Compton Boys' Blazer - 40(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,7,Chest Size,40(+£10.00),,1,1
8344,variation,,Compton Boys' Blazer - 42(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,8,Chest Size,42(+£10.00),,1,1
8345,variation,,Compton Boys' Blazer - 44(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,9,Chest Size,44(+£10.00),,1,1
8346,variation,,Compton Boys' Blazer - 46(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,10,Chest Size,46(+£10.00),,1,1
8347,variation,,Compton Boys' Blazer - 48(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,11,Chest Size,48(+£10.00),,1,1
8348,variation,,Compton Boys' Blazer - 50(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,CP01,,,,,,12,Chest Size,50(+£10.00),,1,1
8349,variable,CP01,Compton Boys' Blazer,1,0,visible,. ,. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,29.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Compton school",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fch/compton%20boys%20blazer-500x500.jpeg,,,,,,,,,0,Chest Size,"28,30,32(+£2.00),34(+£2.00),36(+£2.00),38(+£10.00),40(+£10.00),42(+£10.00),44(+£10.00),46(+£10.00),48(+£10.00),50(+£10.00)",1,1,1
