ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8352,variation,,Compton Girls' Blazer - 28,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,1,Chest Size,28,,1,1
8353,variation,,Compton Girls' Blazer - 30,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,2,Chest Size,30,,1,1
8354,variation,,Compton Girls' Blazer - 32(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,3,Chest Size,32(+£2.00),,1,1
8355,variation,,Compton Girls' Blazer - 34(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,4,Chest Size,34(+£2.00),,1,1
8356,variation,,Compton Girls' Blazer - 36(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,5,Chest Size,36(+£2.00),,1,1
8357,variation,,Compton Girls' Blazer - 38(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,6,Chest Size,38(+£10.00),,1,1
8358,variation,,Compton Girls' Blazer - 40(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,7,Chest Size,40(+£10.00),,1,1
8359,variation,,Compton Girls' Blazer - 42(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,8,Chest Size,42(+£10.00),,1,1
8360,variation,,Compton Girls' Blazer - 44(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,9,Chest Size,44(+£10.00),,1,1
8361,variation,,Compton Girls' Blazer - 46(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,10,Chest Size,46(+£10.00),,1,1
8362,variation,,Compton Girls' Blazer - 48(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,CP02,,,,,,11,Chest Size,48(+£10.00),,1,1
8363,variable,CP02,Compton Girls' Blazer,1,0,visible,. ,. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,29.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Compton school",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/COMPTON%20GIRL%20BLAZER-500x500.jpg,,,,,,,,,0,Chest Size,"28,30,32(+£2.00),34(+£2.00),36(+£2.00),38(+£10.00),40(+£10.00),42(+£10.00),44(+£10.00),46(+£10.00),48(+£10.00)",1,1,1
