ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8857,variation,,DWIGHT PE SHORT - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Short-500x500.jpg,,,DW024,,,,,,1,Size,Age5/6,,1,1
8858,variation,,DWIGHT PE SHORT - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Short-500x500.jpg,,,DW024,,,,,,2,Size,Age7/8,,1,1
8859,variation,,DWIGHT PE SHORT - Age9/10,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Short-500x500.jpg,,,DW024,,,,,,3,Size,Age9/10,,1,1
8860,variation,,DWIGHT PE SHORT - Age11/12,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Short-500x500.jpg,,,DW024,,,,,,4,Size,Age11/12,,1,1
8861,variation,,DWIGHT PE SHORT - ExtraSmall,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Short-500x500.jpg,,,DW024,,,,,,5,Size,ExtraSmall,,1,1
8862,variation,,DWIGHT PE SHORT - SmallAdult(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Short-500x500.jpg,,,DW024,,,,,,6,Size,SmallAdult(+£5.00),,1,1
8863,variation,,DWIGHT PE SHORT - Medium(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Short-500x500.jpg,,,DW024,,,,,,7,Size,Medium(+£5.00),,1,1
8864,variation,,DWIGHT PE SHORT - Large(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Short-500x500.jpg,,,DW024,,,,,,8,Size,Large(+£5.00),,1,1
8865,variation,,DWIGHT PE SHORT - ExtraLarge(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Short-500x500.jpg,,,DW024,,,,,,9,Size,ExtraLarge(+£5.00),,1,1
8866,variable,DW024,DWIGHT PE SHORT,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,15.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Short-500x500.jpg,,,,,,,,,0,Size,"Age5/6,Age7/8,Age9/10,Age11/12,ExtraSmall,SmallAdult(+£5.00),Medium(+£5.00),Large(+£5.00),ExtraLarge(+£5.00)",1,1,1
