ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8833,variation,,DWIGHT PE T-SHIRT - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,22.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20T%20shirt-500x500.jpg,,,DW024,,,,,,1,Size,Age5/6,,1,1
8834,variation,,DWIGHT PE T-SHIRT - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,22.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20T%20shirt-500x500.jpg,,,DW024,,,,,,2,Size,Age7/8,,1,1
8835,variation,,DWIGHT PE T-SHIRT - Age9/10,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,22.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20T%20shirt-500x500.jpg,,,DW024,,,,,,3,Size,Age9/10,,1,1
8836,variation,,DWIGHT PE T-SHIRT - Age11/12,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,22.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20T%20shirt-500x500.jpg,,,DW024,,,,,,4,Size,Age11/12,,1,1
8837,variation,,DWIGHT PE T-SHIRT - ExtraSmall,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,22.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20T%20shirt-500x500.jpg,,,DW024,,,,,,5,Size,ExtraSmall,,1,1
8838,variation,,DWIGHT PE T-SHIRT - SmallAdult(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,22.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20T%20shirt-500x500.jpg,,,DW024,,,,,,6,Size,SmallAdult(+£3.00),,1,1
8839,variation,,DWIGHT PE T-SHIRT - Medium(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,22.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20T%20shirt-500x500.jpg,,,DW024,,,,,,7,Size,Medium(+£3.00),,1,1
8840,variation,,DWIGHT PE T-SHIRT - Large(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,22.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20T%20shirt-500x500.jpg,,,DW024,,,,,,8,Size,Large(+£3.00),,1,1
8841,variation,,DWIGHT PE T-SHIRT - ExtraLarge(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,22.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20T%20shirt-500x500.jpg,,,DW024,,,,,,9,Size,ExtraLarge(+£3.00),,1,1
8842,variable,DW024,DWIGHT PE T-SHIRT,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,22.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20T%20shirt-500x500.jpg,,,,,,,,,0,Size,"Age5/6,Age7/8,Age9/10,Age11/12,ExtraSmall,SmallAdult(+£3.00),Medium(+£3.00),Large(+£3.00),ExtraLarge(+£3.00)",1,1,1
