ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8845,variation,,DWIGHT PE TRACK TOP - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,27.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Jumper-500x500.jpg,,,DW025,,,,,,1,Size,Age5/6,,1,1
8846,variation,,DWIGHT PE TRACK TOP - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,27.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Jumper-500x500.jpg,,,DW025,,,,,,2,Size,Age7/8,,1,1
8847,variation,,DWIGHT PE TRACK TOP - Age9/10,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,27.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Jumper-500x500.jpg,,,DW025,,,,,,3,Size,Age9/10,,1,1
8848,variation,,DWIGHT PE TRACK TOP - Age11/12,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,27.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Jumper-500x500.jpg,,,DW025,,,,,,4,Size,Age11/12,,1,1
8849,variation,,DWIGHT PE TRACK TOP - ExtraSmall,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,27.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Jumper-500x500.jpg,,,DW025,,,,,,5,Size,ExtraSmall,,1,1
8850,variation,,DWIGHT PE TRACK TOP - SmallAdult(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,27.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Jumper-500x500.jpg,,,DW025,,,,,,6,Size,SmallAdult(+£3.00),,1,1
8851,variation,,DWIGHT PE TRACK TOP - Medium(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,27.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Jumper-500x500.jpg,,,DW025,,,,,,7,Size,Medium(+£3.00),,1,1
8852,variation,,DWIGHT PE TRACK TOP - Large(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,27.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Jumper-500x500.jpg,,,DW025,,,,,,8,Size,Large(+£3.00),,1,1
8853,variation,,DWIGHT PE TRACK TOP - ExtraLarge(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,27.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Jumper-500x500.jpg,,,DW025,,,,,,9,Size,ExtraLarge(+£3.00),,1,1
8854,variable,DW025,DWIGHT PE TRACK TOP,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,27.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20PE%20Jumper-500x500.jpg,,,,,,,,,0,Size,"Age5/6,Age7/8,Age9/10,Age11/12,ExtraSmall,SmallAdult(+£3.00),Medium(+£3.00),Large(+£3.00),ExtraLarge(+£3.00)",1,1,1
