ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8776,variation,,Dwight  Kilt - 22/16in,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,40.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Skirt-500x500.jpg,,,DW010,,,,,,1,Kilt Size,22/16in,,1,1
8777,variation,,Dwight  Kilt - 24/18in,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,40.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Skirt-500x500.jpg,,,DW010,,,,,,2,Kilt Size,24/18in,,1,1
8778,variation,,Dwight  Kilt - 26/18in,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,40.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Skirt-500x500.jpg,,,DW010,,,,,,3,Kilt Size,26/18in,,1,1
8779,variation,,Dwight  Kilt - 28/20in(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,40.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Skirt-500x500.jpg,,,DW010,,,,,,4,Kilt Size,28/20in(+£4.00),,1,1
8780,variation,,Dwight  Kilt - 30/20in(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,40.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Skirt-500x500.jpg,,,DW010,,,,,,5,Kilt Size,30/20in(+£4.00),,1,1
8781,variation,,Dwight  Kilt - 32/20in(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,40.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Skirt-500x500.jpg,,,DW010,,,,,,6,Kilt Size,32/20in(+£8.00),,1,1
8782,variation,,Dwight  Kilt - 34/20in(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,40.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Skirt-500x500.jpg,,,DW010,,,,,,7,Kilt Size,34/20in(+£8.00),,1,1
8783,variation,,Dwight  Kilt - 36/20in(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,40.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Skirt-500x500.jpg,,,DW010,,,,,,8,Kilt Size,36/20in(+£10.00),,1,1
8784,variation,,Dwight  Kilt - 38/22in(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,40.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Skirt-500x500.jpg,,,DW010,,,,,,9,Kilt Size,38/22in(+£10.00),,1,1
8785,variable,DW010,Dwight  Kilt,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,40.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Skirt-500x500.jpg,,,,,,,,,0,Kilt Size,"22/16in,24/18in,26/18in,28/20in(+£4.00),30/20in(+£4.00),32/20in(+£8.00),34/20in(+£8.00),36/20in(+£10.00),38/22in(+£10.00)",1,1,1
