ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8788,variation,,Dwight Navy Hoodie (with Logo) - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,25.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Hoodie-500x500.jpg,,,DW004,,,,,,1,Size,Age5/6,,1,1
8789,variation,,Dwight Navy Hoodie (with Logo) - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,25.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Hoodie-500x500.jpg,,,DW004,,,,,,2,Size,Age7/8,,1,1
8790,variation,,Dwight Navy Hoodie (with Logo) - Age9/11,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,25.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Hoodie-500x500.jpg,,,DW004,,,,,,3,Size,Age9/11,,1,1
8791,variation,,Dwight Navy Hoodie (with Logo) - Age12/13,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,25.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Hoodie-500x500.jpg,,,DW004,,,,,,4,Size,Age12/13,,1,1
8792,variation,,Dwight Navy Hoodie (with Logo) - ExtraSmall(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,25.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Hoodie-500x500.jpg,,,DW004,,,,,,5,Size,ExtraSmall(+£5.00),,1,1
8793,variation,,Dwight Navy Hoodie (with Logo) - SmallAdult(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,25.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Hoodie-500x500.jpg,,,DW004,,,,,,6,Size,SmallAdult(+£5.00),,1,1
8794,variation,,Dwight Navy Hoodie (with Logo) - Medium(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,25.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Hoodie-500x500.jpg,,,DW004,,,,,,7,Size,Medium(+£5.00),,1,1
8795,variation,,Dwight Navy Hoodie (with Logo) - Large(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,25.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Hoodie-500x500.jpg,,,DW004,,,,,,8,Size,Large(+£5.00),,1,1
8796,variation,,Dwight Navy Hoodie (with Logo) - ExtraLarge(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,25.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Hoodie-500x500.jpg,,,DW004,,,,,,9,Size,ExtraLarge(+£5.00),,1,1
8797,variable,DW004,Dwight Navy Hoodie (with Logo),1,0,visible,. ,. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,25.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Dwight/Dwight%20Hoodie-500x500.jpg,,,,,,,,,0,Size,"Age5/6,Age7/8,Age9/11,Age12/13,ExtraSmall(+£5.00),SmallAdult(+£5.00),Medium(+£5.00),Large(+£5.00),ExtraLarge(+£5.00)",1,1,1
