ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8720,variation,,Dwight Navy Short Sleeve Polo Shirt (with Logo) - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/50-500x500.jpg,,,DW003,,,,,,1,Size,Age5/6,,1,1
8721,variation,,Dwight Navy Short Sleeve Polo Shirt (with Logo) - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/50-500x500.jpg,,,DW003,,,,,,2,Size,Age7/8,,1,1
8722,variation,,Dwight Navy Short Sleeve Polo Shirt (with Logo) - Age9/10(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/50-500x500.jpg,,,DW003,,,,,,3,Size,Age9/10(+£1.00),,1,1
8723,variation,,Dwight Navy Short Sleeve Polo Shirt (with Logo) - Age11/12(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/50-500x500.jpg,,,DW003,,,,,,4,Size,Age11/12(+£1.00),,1,1
8724,variation,,Dwight Navy Short Sleeve Polo Shirt (with Logo) - Age12/13(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/50-500x500.jpg,,,DW003,,,,,,5,Size,Age12/13(+£1.00),,1,1
8725,variation,,Dwight Navy Short Sleeve Polo Shirt (with Logo) - Age13(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/50-500x500.jpg,,,DW003,,,,,,6,Size,Age13(+£1.00),,1,1
8726,variation,,Dwight Navy Short Sleeve Polo Shirt (with Logo) - SmallAdult(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/50-500x500.jpg,,,DW003,,,,,,7,Size,SmallAdult(+£5.00),,1,1
8727,variation,,Dwight Navy Short Sleeve Polo Shirt (with Logo) - Medium(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/50-500x500.jpg,,,DW003,,,,,,8,Size,Medium(+£5.00),,1,1
8728,variation,,Dwight Navy Short Sleeve Polo Shirt (with Logo) - Large(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/50-500x500.jpg,,,DW003,,,,,,9,Size,Large(+£5.00),,1,1
8729,variable,DW003,Dwight Navy Short Sleeve Polo Shirt (with Logo),1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,15.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/50-500x500.jpg,,,,,,,,,0,Size,"Age5/6,Age7/8,Age9/10(+£1.00),Age11/12(+£1.00),Age12/13(+£1.00),Age13(+£1.00),SmallAdult(+£5.00),Medium(+£5.00),Large(+£5.00)",1,1,1
