ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8732,variation,,Dwight Red Short Sleeve Polo Shirt (with Logo) - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/47-500x500.jpg,,,DW002,,,,,,1,Size,Age5/6,,1,1
8733,variation,,Dwight Red Short Sleeve Polo Shirt (with Logo) - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/47-500x500.jpg,,,DW002,,,,,,2,Size,Age7/8,,1,1
8734,variation,,Dwight Red Short Sleeve Polo Shirt (with Logo) - Age9/10(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/47-500x500.jpg,,,DW002,,,,,,3,Size,Age9/10(+£1.00),,1,1
8735,variation,,Dwight Red Short Sleeve Polo Shirt (with Logo) - Age11/12(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/47-500x500.jpg,,,DW002,,,,,,4,Size,Age11/12(+£1.00),,1,1
8736,variation,,Dwight Red Short Sleeve Polo Shirt (with Logo) - Age12/13(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/47-500x500.jpg,,,DW002,,,,,,5,Size,Age12/13(+£1.00),,1,1
8737,variation,,Dwight Red Short Sleeve Polo Shirt (with Logo) - Age13(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/47-500x500.jpg,,,DW002,,,,,,6,Size,Age13(+£1.00),,1,1
8738,variation,,Dwight Red Short Sleeve Polo Shirt (with Logo) - SmallAdult(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/47-500x500.jpg,,,DW002,,,,,,7,Size,SmallAdult(+£5.00),,1,1
8739,variation,,Dwight Red Short Sleeve Polo Shirt (with Logo) - Medium(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/47-500x500.jpg,,,DW002,,,,,,8,Size,Medium(+£5.00),,1,1
8740,variation,,Dwight Red Short Sleeve Polo Shirt (with Logo) - Large(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/47-500x500.jpg,,,DW002,,,,,,9,Size,Large(+£5.00),,1,1
8741,variable,DW002,Dwight Red Short Sleeve Polo Shirt (with Logo),1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,15.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/47-500x500.jpg,,,,,,,,,0,Size,"Age5/6,Age7/8,Age9/10(+£1.00),Age11/12(+£1.00),Age12/13(+£1.00),Age13(+£1.00),SmallAdult(+£5.00),Medium(+£5.00),Large(+£5.00)",1,1,1
