ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
95,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 28,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,1,Chest Size,28,,1,1
96,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 30(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,2,Chest Size,30(+£2.00),,1,1
97,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 32(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,3,Chest Size,32(+£6.00),,1,1
98,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 34(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,4,Chest Size,34(+£6.00),,1,1
99,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 36(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,5,Chest Size,36(+£6.00),,1,1
100,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 38(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,6,Chest Size,38(+£10.00),,1,1
101,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 40(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,7,Chest Size,40(+£10.00),,1,1
102,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 42(+£13.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,8,Chest Size,42(+£13.00),,1,1
103,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 44(+£13.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,9,Chest Size,44(+£13.00),,1,1
104,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 46(+£18.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,10,Chest Size,46(+£18.00),,1,1
105,variation,,Friern Barnet Boys Navy Blazer (with Badge) - 48(+£18.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,FB004,,,,,,11,Chest Size,48(+£18.00),,1,1
106,variable,FB004,Friern Barnet Boys Navy Blazer (with Badge),1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,26.95,"Schoolwear,Schoolwear > Specialist Schoolwear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20Boys%20blazer-500x500.jpeg,,,,,,,,,0,Chest Size,"28,30(+£2.00),32(+£6.00),34(+£6.00),36(+£6.00),38(+£10.00),40(+£10.00),42(+£13.00),44(+£13.00),46(+£18.00),48(+£18.00)",1,1,1
