ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
285,variation,,Friern Barnet Girls Navy Blazer (with Badge) - 28,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,FB001,,,,,,1,Chest Size,28,,1,1
286,variation,,Friern Barnet Girls Navy Blazer (with Badge) - 30(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,FB001,,,,,,2,Chest Size,30(+£2.00),,1,1
287,variation,,Friern Barnet Girls Navy Blazer (with Badge) - 31(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,FB001,,,,,,3,Chest Size,31(+£6.00),,1,1
288,variation,,Friern Barnet Girls Navy Blazer (with Badge) - 32(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,FB001,,,,,,4,Chest Size,32(+£6.00),,1,1
289,variation,,Friern Barnet Girls Navy Blazer (with Badge) - 34(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,FB001,,,,,,5,Chest Size,34(+£6.00),,1,1
290,variation,,Friern Barnet Girls Navy Blazer (with Badge) - 36(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,FB001,,,,,,6,Chest Size,36(+£6.00),,1,1
291,variation,,Friern Barnet Girls Navy Blazer (with Badge) - 38(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,FB001,,,,,,7,Chest Size,38(+£10.00),,1,1
292,variation,,Friern Barnet Girls Navy Blazer (with Badge) - 40(+£10.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,FB001,,,,,,8,Chest Size,40(+£10.00),,1,1
293,variation,,Friern Barnet Girls Navy Blazer (with Badge) - 42(+£13.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,FB001,,,,,,9,Chest Size,42(+£13.00),,1,1
294,variation,,Friern Barnet Girls Navy Blazer (with Badge) - 44(+£13.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,26.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,FB001,,,,,,10,Chest Size,44(+£13.00),,1,1
295,variable,FB001,Friern Barnet Girls Navy Blazer (with Badge),1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,26.95,"Schoolwear,Schoolwear > Specialist Schoolwear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/fbs/FBS%20girls%20blazer-500x500.jpeg,,,,,,,,,0,Chest Size,"28,30(+£2.00),31(+£6.00),32(+£6.00),34(+£6.00),36(+£6.00),38(+£10.00),40(+£10.00),42(+£13.00),44(+£13.00)",1,1,1
