ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
9962,variation,,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age3/4",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,GT005,,,,,,1,Size,Age3/4,,1,1
9963,variation,,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age4/5",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,GT005,,,,,,2,Size,Age4/5,,1,1
9964,variation,,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age5/6",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,GT005,,,,,,3,Size,Age5/6,,1,1
9965,variation,,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age6/7",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,GT005,,,,,,4,Size,Age6/7,,1,1
9966,variation,,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age7/8(+£1.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,GT005,,,,,,5,Size,Age7/8(+£1.00),,1,1
9967,variation,,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age8/9R(+£1.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,GT005,,,,,,6,Size,Age8/9R(+£1.00),,1,1
9968,variation,,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age9/10R(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,GT005,,,,,,7,Size,Age9/10R(+£2.00),,1,1
9969,variation,,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age10/11R(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,GT005,,,,,,8,Size,Age10/11R(+£2.00),,1,1
9970,variation,,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age11/12R(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,GT005,,,,,,9,Size,Age11/12R(+£2.00),,1,1
9971,variation,,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age12/13R(+£4.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,GT005,,,,,,10,Size,Age12/13R(+£4.00),,1,1
9972,variable,GT005,"Grey Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys)",1,0,visible,Code: DL 944   Colour: Grey. . ,Code: DL 944   Colour: Grey. . ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,13.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Wren Academy Finchley (Secondary)",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/944_dt-500x500.jpg,,,,,,,,,0,Size,"Age3/4,Age4/5,Age5/6,Age6/7,Age7/8(+£1.00),Age8/9R(+£1.00),Age9/10R(+£2.00),Age10/11R(+£2.00),Age11/12R(+£2.00),Age12/13R(+£4.00)",1,1,1
