ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
1881,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 27""R(insideleg26"")",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,1,Waist Size,"27""R(insideleg26"")",,1,1
1882,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 28""R(insideleg26"")",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,2,Waist Size,"28""R(insideleg26"")",,1,1
1883,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 30""S(insideleg26"")(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,3,Waist Size,"30""S(insideleg26"")(+£2.00)",,1,1
1884,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 30""R(insideleg28"")(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,4,Waist Size,"30""R(insideleg28"")(+£2.00)",,1,1
1885,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 30""L(insideleg30"")(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,5,Waist Size,"30""L(insideleg30"")(+£2.00)",,1,1
1886,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 32""S(insideleg27"")(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,6,Waist Size,"32""S(insideleg27"")(+£2.00)",,1,1
1887,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 32""R(insideleg29"")(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,7,Waist Size,"32""R(insideleg29"")(+£2.00)",,1,1
1888,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 32""L(insideleg32"")(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,8,Waist Size,"32""L(insideleg32"")(+£2.00)",,1,1
1889,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 34""S(insideleg27"")(+£3.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,9,Waist Size,"34""S(insideleg27"")(+£3.00)",,1,1
1890,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 34""R(insideleg29"")(+£3.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,10,Waist Size,"34""R(insideleg29"")(+£3.00)",,1,1
1891,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 34""L(insideleg32"")(+£3.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,11,Waist Size,"34""L(insideleg32"")(+£3.00)",,1,1
1892,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 36""S(insideleg27"")(+£5.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,12,Waist Size,"36""S(insideleg27"")(+£5.00)",,1,1
1893,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 36""R(insideleg29"")(+£5.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,13,Waist Size,"36""R(insideleg29"")(+£5.00)",,1,1
1894,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 36""L(insideleg32"")(+£5.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,14,Waist Size,"36""L(insideleg32"")(+£5.00)",,1,1
1895,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 38""S(insideleg27"")(+£5.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,15,Waist Size,"38""S(insideleg27"")(+£5.00)",,1,1
1896,variation,,"Grey Senior Elastic Waist Regular Fit Trousers (Boys) - 38""R(insideleg29"")(+£5.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,17.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT001,,,,,,16,Waist Size,"38""R(insideleg29"")(+£5.00)",,1,1
