ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
1083,variation,,Grey Shorts (Boys) - 21,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Shorts/Grey%20shorts-500x500.jpg,,,GS001,,,,,,1,Short Sizes,21,,1,1
1084,variation,,Grey Shorts (Boys) - 22,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Shorts/Grey%20shorts-500x500.jpg,,,GS001,,,,,,2,Short Sizes,22,,1,1
1085,variation,,Grey Shorts (Boys) - 23,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Shorts/Grey%20shorts-500x500.jpg,,,GS001,,,,,,3,Short Sizes,23,,1,1
1086,variation,,Grey Shorts (Boys) - 24,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Shorts/Grey%20shorts-500x500.jpg,,,GS001,,,,,,4,Short Sizes,24,,1,1
1087,variation,,Grey Shorts (Boys) - 25,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Shorts/Grey%20shorts-500x500.jpg,,,GS001,,,,,,5,Short Sizes,25,,1,1
1088,variation,,Grey Shorts (Boys) - 26(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Shorts/Grey%20shorts-500x500.jpg,,,GS001,,,,,,6,Short Sizes,26(+£2.00),,1,1
1089,variation,,Grey Shorts (Boys) - 27(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Shorts/Grey%20shorts-500x500.jpg,,,GS001,,,,,,7,Short Sizes,27(+£2.00),,1,1
1090,variation,,Grey Shorts (Boys) - 28(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Shorts/Grey%20shorts-500x500.jpg,,,GS001,,,,,,8,Short Sizes,28(+£2.00),,1,1
1091,variation,,Grey Shorts (Boys) - 30(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Shorts/Grey%20shorts-500x500.jpg,,,GS001,,,,,,9,Short Sizes,30(+£4.00),,1,1
1092,variable,GS001,Grey Shorts (Boys),1,0,visible,. Style no DL947. . ,. Style no DL947. . ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,15.95,"Schoolwear,Schoolwear > Specialist Schoolwear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Shorts/Grey%20shorts-500x500.jpg,,,,,,,,,0,Short Sizes,"21,22,23,24,25,26(+£2.00),27(+£2.00),28(+£2.00),30(+£4.00)",1,1,1
