ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
2333,variation,,HUSH PUPPIES SANTOS BOYS SHOES - Child10,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,48.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/santos-500x500.jpg,,,SHOE13,,,,,,1,Shoe Size (UK),Child10,,1,1
2334,variation,,HUSH PUPPIES SANTOS BOYS SHOES - Child11.5,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,48.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/santos-500x500.jpg,,,SHOE13,,,,,,2,Shoe Size (UK),Child11.5,,1,1
2335,variation,,HUSH PUPPIES SANTOS BOYS SHOES - Child11,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,48.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/santos-500x500.jpg,,,SHOE13,,,,,,3,Shoe Size (UK),Child11,,1,1
2336,variation,,HUSH PUPPIES SANTOS BOYS SHOES - Child12,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,48.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/santos-500x500.jpg,,,SHOE13,,,,,,4,Shoe Size (UK),Child12,,1,1
2337,variation,,HUSH PUPPIES SANTOS BOYS SHOES - Child13,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,48.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/santos-500x500.jpg,,,SHOE13,,,,,,5,Shoe Size (UK),Child13,,1,1
2338,variation,,HUSH PUPPIES SANTOS BOYS SHOES - Adult1,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,48.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/santos-500x500.jpg,,,SHOE13,,,,,,6,Shoe Size (UK),Adult1,,1,1
2339,variation,,HUSH PUPPIES SANTOS BOYS SHOES - Adult2,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,48.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/santos-500x500.jpg,,,SHOE13,,,,,,7,Shoe Size (UK),Adult2,,1,1
2340,variation,,HUSH PUPPIES SANTOS BOYS SHOES - Adult2,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,48.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/santos-500x500.jpg,,,SHOE13,,,,,,8,Shoe Size (UK),Adult2,,1,1
2341,variation,,HUSH PUPPIES SANTOS BOYS SHOES - Adult3,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,48.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/santos-500x500.jpg,,,SHOE13,,,,,,9,Shoe Size (UK),Adult3,,1,1
2342,variable,SHOE13,HUSH PUPPIES SANTOS BOYS SHOES,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,48.95,"Schoolwear,Schoolwear > Shoes",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/santos-500x500.jpg,,,,,,,,,0,Shoe Size (UK),"Child10,Child11.5,Child11,Child12,Child13,Adult1,Adult2,Adult2,Adult3",1,1,1
