ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8880,variation,,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age3/4",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT007,,,,,,1,Size,Age3/4,,1,1
8881,variation,,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age4/5",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT007,,,,,,2,Size,Age4/5,,1,1
8882,variation,,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age5/6",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT007,,,,,,3,Size,Age5/6,,1,1
8883,variation,,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age6/7",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT007,,,,,,4,Size,Age6/7,,1,1
8884,variation,,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age7/8(+£1.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT007,,,,,,5,Size,Age7/8(+£1.00),,1,1
8885,variation,,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age8/9R(+£1.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT007,,,,,,6,Size,Age8/9R(+£1.00),,1,1
8886,variation,,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age9/10R(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT007,,,,,,7,Size,Age9/10R(+£2.00),,1,1
8887,variation,,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age10/11R(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT007,,,,,,8,Size,Age10/11R(+£2.00),,1,1
8888,variation,,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age11/12R(+£2.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT007,,,,,,9,Size,Age11/12R(+£2.00),,1,1
8889,variation,,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys) - Age12/13R(+£4.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT007,,,,,,10,Size,Age12/13R(+£4.00),,1,1
8890,variable,GT007,"Navy Junior Slim Fit Trouser, Flat Front, Elastic Back (Boys)",1,0,visible,Code: DL 944   Colour: Navy. ,Code: DL 944   Colour: Navy. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,13.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,,,,,,,0,Size,"Age3/4,Age4/5,Age5/6,Age6/7,Age7/8(+£1.00),Age8/9R(+£1.00),Age9/10R(+£2.00),Age10/11R(+£2.00),Age11/12R(+£2.00),Age12/13R(+£4.00)",1,1,1
