ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8905,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 30""S(insideleg26"")",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,1,Waist Size,"30""S(insideleg26"")",,1,1
8906,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 30""R(insideleg28"")",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,2,Waist Size,"30""R(insideleg28"")",,1,1
8907,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 30""L(insideleg30"")",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,3,Waist Size,"30""L(insideleg30"")",,1,1
8908,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 32""S(insideleg27"")",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,4,Waist Size,"32""S(insideleg27"")",,1,1
8909,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 32""R(insideleg29"")",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,5,Waist Size,"32""R(insideleg29"")",,1,1
8910,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 32""L(insideleg32"")",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,6,Waist Size,"32""L(insideleg32"")",,1,1
8911,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 34""S(insideleg27"")(+£1.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,7,Waist Size,"34""S(insideleg27"")(+£1.00)",,1,1
8912,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 34""R(insideleg29"")(+£1.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,8,Waist Size,"34""R(insideleg29"")(+£1.00)",,1,1
8913,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 34""L(insideleg32"")(+£1.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,9,Waist Size,"34""L(insideleg32"")(+£1.00)",,1,1
8914,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 36""S(insideleg27"")(+£3.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,10,Waist Size,"36""S(insideleg27"")(+£3.00)",,1,1
8915,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 36""R(insideleg29"")(+£3.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,11,Waist Size,"36""R(insideleg29"")(+£3.00)",,1,1
8916,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 36""L(insideleg32"")(+£3.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,12,Waist Size,"36""L(insideleg32"")(+£3.00)",,1,1
8917,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 38""S(insideleg27"")(+£3.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,13,Waist Size,"38""S(insideleg27"")(+£3.00)",,1,1
8918,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 38""R(insideleg29"")(+£3.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,14,Waist Size,"38""R(insideleg29"")(+£3.00)",,1,1
8919,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 38""L(insideleg32"")(+£3.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,15,Waist Size,"38""L(insideleg32"")(+£3.00)",,1,1
8920,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 40""R(insideleg29"")(+£5.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,16,Waist Size,"40""R(insideleg29"")(+£5.00)",,1,1
8921,variation,,"Navy Senior Elastic Waist Regular Fit Trousers (Boys) - 42""R(insideleg29"")(+£5.00)",1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,GT002,,,,,,17,Waist Size,"42""R(insideleg29"")(+£5.00)",,1,1
8922,variable,GT002,Navy Senior Elastic Waist Regular Fit Trousers (Boys),1,0,visible,DL943. ,DL943. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,19.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/943_trouser-500x500.jpg,,,,,,,,,0,Waist Size,"30""S(insideleg26""),30""R(insideleg28""),30""L(insideleg30""),32""S(insideleg27""),32""R(insideleg29""),32""L(insideleg32""),34""S(insideleg27"")(+£1.00),34""R(insideleg29"")(+£1.00),34""L(insideleg32"")(+£1.00),36""S(insideleg27"")(+£3.00),36""R(insideleg29"")(+£3.00),36""L(insideleg32"")(+£3.00),38""S(insideleg27"")(+£3.00),38""R(insideleg29"")(+£3.00),38""L(insideleg32"")(+£3.00),40""R(insideleg29"")(+£5.00),42""R(insideleg29"")(+£5.00)",1,1,1
