ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
1111,variation,,Navy Shorts (Boys) - 21,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,GS002,,,,,,1,Short Sizes,21,,1,1
1112,variation,,Navy Shorts (Boys) - 22,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,GS002,,,,,,2,Short Sizes,22,,1,1
1113,variation,,Navy Shorts (Boys) - 23,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,GS002,,,,,,3,Short Sizes,23,,1,1
1114,variation,,Navy Shorts (Boys) - 24,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,GS002,,,,,,4,Short Sizes,24,,1,1
1115,variation,,Navy Shorts (Boys) - 25,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,GS002,,,,,,5,Short Sizes,25,,1,1
1116,variation,,Navy Shorts (Boys) - 26(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,GS002,,,,,,6,Short Sizes,26(+£2.00),,1,1
1117,variation,,Navy Shorts (Boys) - 27(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,GS002,,,,,,7,Short Sizes,27(+£2.00),,1,1
1118,variation,,Navy Shorts (Boys) - 28(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,GS002,,,,,,8,Short Sizes,28(+£2.00),,1,1
1119,variation,,Navy Shorts (Boys) - 30(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,GS002,,,,,,9,Short Sizes,30(+£4.00),,1,1
1120,variation,,Navy Shorts (Boys) - 32(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,GS002,,,,,,10,Short Sizes,32(+£4.00),,1,1
1121,variable,GS002,Navy Shorts (Boys),1,0,visible,DL 947. . ,DL 947. . ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,15.95,"Schoolwear,Schoolwear > Specialist Schoolwear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Trousers/Navy%20summer%20shorts-500x500.jpg,,,,,,,,,0,Short Sizes,"21,22,23,24,25,26(+£2.00),27(+£2.00),28(+£2.00),30(+£4.00),32(+£4.00)",1,1,1
