ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
3744,variation,,Our Lady of Lourdes Summer Dress - Age4/5,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/OLL%20summer%20dress-500x500.jpg,,,SUMMER2,,,,,,1,Size,Age4/5,,1,1
3745,variation,,Our Lady of Lourdes Summer Dress - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/OLL%20summer%20dress-500x500.jpg,,,SUMMER2,,,,,,2,Size,Age5/6,,1,1
3746,variation,,Our Lady of Lourdes Summer Dress - Age6/7,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/OLL%20summer%20dress-500x500.jpg,,,SUMMER2,,,,,,3,Size,Age6/7,,1,1
3747,variation,,Our Lady of Lourdes Summer Dress - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/OLL%20summer%20dress-500x500.jpg,,,SUMMER2,,,,,,4,Size,Age7/8,,1,1
3748,variation,,Our Lady of Lourdes Summer Dress - Age8/9,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/OLL%20summer%20dress-500x500.jpg,,,SUMMER2,,,,,,5,Size,Age8/9,,1,1
3749,variation,,Our Lady of Lourdes Summer Dress - Age9/10(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/OLL%20summer%20dress-500x500.jpg,,,SUMMER2,,,,,,6,Size,Age9/10(+£1.00),,1,1
3750,variation,,Our Lady of Lourdes Summer Dress - Age10/11(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/OLL%20summer%20dress-500x500.jpg,,,SUMMER2,,,,,,7,Size,Age10/11(+£1.00),,1,1
3751,variation,,Our Lady of Lourdes Summer Dress - Age11/12(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/OLL%20summer%20dress-500x500.jpg,,,SUMMER2,,,,,,8,Size,Age11/12(+£1.00),,1,1
3752,variation,,Our Lady of Lourdes Summer Dress - Age12/13(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/OLL%20summer%20dress-500x500.jpg,,,SUMMER2,,,,,,9,Size,Age12/13(+£1.00),,1,1
3753,variable,SUMMER2,Our Lady of Lourdes Summer Dress,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,15.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Primary Schools,Our Lady of Lourdes School",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/OLL%20summer%20dress-500x500.jpg,,,,,,,,,0,Size,"Age4/5,Age5/6,Age6/7,Age7/8,Age8/9,Age9/10(+£1.00),Age10/11(+£1.00),Age11/12(+£1.00),Age12/13(+£1.00)",1,1,1
