ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
2708,variation,,Plain Black Jogging Bottoms - Age3/4,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,J104,,,,,,1,Size,Age3/4,,1,1
2709,variation,,Plain Black Jogging Bottoms - Age5/6(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,J104,,,,,,2,Size,Age5/6(+£1.00),,1,1
2710,variation,,Plain Black Jogging Bottoms - Age7/8(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,J104,,,,,,3,Size,Age7/8(+£1.00),,1,1
2711,variation,,Plain Black Jogging Bottoms - Age9/10(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,J104,,,,,,4,Size,Age9/10(+£1.00),,1,1
2712,variation,,Plain Black Jogging Bottoms - Age11/12(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,J104,,,,,,5,Size,Age11/12(+£1.00),,1,1
2713,variation,,Plain Black Jogging Bottoms - Age13(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,J104,,,,,,6,Size,Age13(+£2.00),,1,1
2714,variation,,Plain Black Jogging Bottoms - SmallAdult(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,J104,,,,,,7,Size,SmallAdult(+£6.00),,1,1
2715,variation,,Plain Black Jogging Bottoms - Medium(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,J104,,,,,,8,Size,Medium(+£6.00),,1,1
2716,variation,,Plain Black Jogging Bottoms - Large(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,J104,,,,,,9,Size,Large(+£6.00),,1,1
2717,variation,,Plain Black Jogging Bottoms - ExtraLarge(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,J104,,,,,,10,Size,ExtraLarge(+£6.00),,1,1
2718,variable,J104,Plain Black Jogging Bottoms,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,11.95,"Schoolwear,Schoolwear > Sports Wear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Jogging%20Bottoms/BLK%20JOGPANTS-500x500.jpg,,,,,,,,,0,Size,"Age3/4,Age5/6(+£1.00),Age7/8(+£1.00),Age9/10(+£1.00),Age11/12(+£1.00),Age13(+£2.00),SmallAdult(+£6.00),Medium(+£6.00),Large(+£6.00),ExtraLarge(+£6.00)",1,1,1
