ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
1476,variation,,Plain Navy Girl's Blazer - 24,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,1,Chest Size,24,,1,1
1477,variation,,Plain Navy Girl's Blazer - 26(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,2,Chest Size,26(+£3.00),,1,1
1478,variation,,Plain Navy Girl's Blazer - 28(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,3,Chest Size,28(+£3.00),,1,1
1479,variation,,Plain Navy Girl's Blazer - 30(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,4,Chest Size,30(+£8.00),,1,1
1480,variation,,Plain Navy Girl's Blazer - 31(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,5,Chest Size,31(+£8.00),,1,1
1481,variation,,Plain Navy Girl's Blazer - 32(+£12.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,6,Chest Size,32(+£12.00),,1,1
1482,variation,,Plain Navy Girl's Blazer - 34(+£12.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,7,Chest Size,34(+£12.00),,1,1
1483,variation,,Plain Navy Girl's Blazer - 36(+£15.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,8,Chest Size,36(+£15.00),,1,1
1484,variation,,Plain Navy Girl's Blazer - 40(+£20.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,9,Chest Size,40(+£20.00),,1,1
1485,variation,,Plain Navy Girl's Blazer - 42(+£20.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,10,Chest Size,42(+£20.00),,1,1
1486,variation,,Plain Navy Girl's Blazer - 44(+£23.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,19.95,,,,,,,PB11,,,,,,11,Chest Size,44(+£23.00),,1,1
1487,variable,PB11,Plain Navy Girl's Blazer,1,0,visible,Note For School Parents:. All Saints - This item is optional for students. St John's N20 - This item is optional for students. ,Note For School Parents:. All Saints - This item is optional for students. St John's N20 - This item is optional for students. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,19.95,"Schoolwear,Schoolwear > Specialist Schoolwear",,,,,,,,,,,,0,Chest Size,"24,26(+£3.00),28(+£3.00),30(+£8.00),31(+£8.00),32(+£12.00),34(+£12.00),36(+£15.00),40(+£20.00),42(+£20.00),44(+£23.00)",1,1,1
