ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
2736,variation,,Plain White P.E T-Shirt - Age3/4,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/110-500x500.jpg,,,WPET1,,,,,,1,Size,Age3/4,,1,1
2737,variation,,Plain White P.E T-Shirt - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/110-500x500.jpg,,,WPET1,,,,,,2,Size,Age5/6,,1,1
2738,variation,,Plain White P.E T-Shirt - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/110-500x500.jpg,,,WPET1,,,,,,3,Size,Age7/8,,1,1
2739,variation,,Plain White P.E T-Shirt - Age9/10,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/110-500x500.jpg,,,WPET1,,,,,,4,Size,Age9/10,,1,1
2740,variation,,Plain White P.E T-Shirt - Age11/12,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/110-500x500.jpg,,,WPET1,,,,,,5,Size,Age11/12,,1,1
2741,variation,,Plain White P.E T-Shirt - SmallAdult(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/110-500x500.jpg,,,WPET1,,,,,,6,Size,SmallAdult(+£1.00),,1,1
2742,variation,,Plain White P.E T-Shirt - SmallAdult(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/110-500x500.jpg,,,WPET1,,,,,,7,Size,SmallAdult(+£1.00),,1,1
2743,variation,,Plain White P.E T-Shirt - Medium(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/110-500x500.jpg,,,WPET1,,,,,,8,Size,Medium(+£1.00),,1,1
2744,variation,,Plain White P.E T-Shirt - Large(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/110-500x500.jpg,,,WPET1,,,,,,9,Size,Large(+£1.00),,1,1
2745,variable,WPET1,Plain White P.E T-Shirt,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,3.95,"Schoolwear,Schoolwear > Sports Wear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/110-500x500.jpg,,,,,,,,,0,Size,"Age3/4,Age5/6,Age7/8,Age9/10,Age11/12,SmallAdult(+£1.00),SmallAdult(+£1.00),Medium(+£1.00),Large(+£1.00)",1,1,1
