ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
2639,variation,,Plain White Polo Shirt - Age3/4,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,1,Size,Age3/4,,1,1
2640,variation,,Plain White Polo Shirt - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,2,Size,Age5/6,,1,1
2641,variation,,Plain White Polo Shirt - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,3,Size,Age7/8,,1,1
2642,variation,,Plain White Polo Shirt - Age9/10,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,4,Size,Age9/10,,1,1
2643,variation,,Plain White Polo Shirt - Age11/12,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,5,Size,Age11/12,,1,1
2644,variation,,Plain White Polo Shirt - Age13(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,6,Size,Age13(+£2.00),,1,1
2645,variation,,Plain White Polo Shirt - Age14/15(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,7,Size,Age14/15(+£2.00),,1,1
2646,variation,,Plain White Polo Shirt - SmallAdult(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,8,Size,SmallAdult(+£2.00),,1,1
2647,variation,,Plain White Polo Shirt - Medium(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,9,Size,Medium(+£2.00),,1,1
2648,variation,,Plain White Polo Shirt - Large(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,10,Size,Large(+£3.00),,1,1
2649,variation,,Plain White Polo Shirt - ExtraLarge(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,PW01,,,,,,11,Size,ExtraLarge(+£3.00),,1,1
2650,variable,PW01,Plain White Polo Shirt,1,0,visible,All Saint's Reception only wear. ,All Saint's Reception only wear. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,5.95,"Schoolwear,Schoolwear > Sports Wear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Plain%20White%20polo-500x500.jpg,,,,,,,,,0,Size,"Age3/4,Age5/6,Age7/8,Age9/10,Age11/12,Age13(+£2.00),Age14/15(+£2.00),SmallAdult(+£2.00),Medium(+£2.00),Large(+£3.00),ExtraLarge(+£3.00)",1,1,1
