ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
9620,variation,,Plimsolls - Child7,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,1,Shoe Size (UK),Child7,,1,1
9621,variation,,Plimsolls - Child8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,2,Shoe Size (UK),Child8,,1,1
9622,variation,,Plimsolls - Child9,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,3,Shoe Size (UK),Child9,,1,1
9623,variation,,Plimsolls - Child10(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,4,Shoe Size (UK),Child10(+£1.00),,1,1
9624,variation,,Plimsolls - Child11(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,5,Shoe Size (UK),Child11(+£1.00),,1,1
9625,variation,,Plimsolls - Child12(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,6,Shoe Size (UK),Child12(+£1.00),,1,1
9626,variation,,Plimsolls - Child13(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,7,Shoe Size (UK),Child13(+£1.00),,1,1
9627,variation,,Plimsolls - Adult1(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,8,Shoe Size (UK),Adult1(+£1.00),,1,1
9628,variation,,Plimsolls - Adult2(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,9,Shoe Size (UK),Adult2(+£1.00),,1,1
9629,variation,,Plimsolls - Adult3(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,10,Shoe Size (UK),Adult3(+£2.00),,1,1
9630,variation,,Plimsolls - Adult4(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/specialist/tudor/plimsollsPicture-500x500.jpeg,,,P001,,,,,,11,Shoe Size (UK),Adult4(+£2.00),,1,1
