ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
9094,variation,,SKECHERS GIRLS SHOES - 28,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,1,SHOE SIZE (EURO),28,,1,1
9095,variation,,SKECHERS GIRLS SHOES - 29,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,2,SHOE SIZE (EURO),29,,1,1
9096,variation,,SKECHERS GIRLS SHOES - 30,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,3,SHOE SIZE (EURO),30,,1,1
9097,variation,,SKECHERS GIRLS SHOES - 31,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,4,SHOE SIZE (EURO),31,,1,1
9098,variation,,SKECHERS GIRLS SHOES - 32,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,5,SHOE SIZE (EURO),32,,1,1
9099,variation,,SKECHERS GIRLS SHOES - 33,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,6,SHOE SIZE (EURO),33,,1,1
9100,variation,,SKECHERS GIRLS SHOES - 34,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,7,SHOE SIZE (EURO),34,,1,1
9101,variation,,SKECHERS GIRLS SHOES - 35,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,8,SHOE SIZE (EURO),35,,1,1
9102,variation,,SKECHERS GIRLS SHOES - 36,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,9,SHOE SIZE (EURO),36,,1,1
9103,variation,,SKECHERS GIRLS SHOES - 37,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,10,SHOE SIZE (EURO),37,,1,1
9104,variation,,SKECHERS GIRLS SHOES - 38,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,34.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,SHOEG2,,,,,,11,SHOE SIZE (EURO),38,,1,1
9105,variable,SHOEG2,SKECHERS GIRLS SHOES,1,0,visible,Design style: Pouty. Shoe code  : 31. ,Design style: Pouty. Shoe code  : 31. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,34.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/pouty-500x500.jpg,,,,,,,,,0,SHOE SIZE (EURO),"28,29,30,31,32,33,34,35,36,37,38",1,1,1
