ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
5178,variation,,St James Summer Dress - Age4/5,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/St%20James%20summer%20Dress-500x500.jpg,,,SUMMER8,,,,,,1,Size,Age4/5,,1,1
5179,variation,,St James Summer Dress - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/St%20James%20summer%20Dress-500x500.jpg,,,SUMMER8,,,,,,2,Size,Age5/6,,1,1
5180,variation,,St James Summer Dress - Age6/7,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/St%20James%20summer%20Dress-500x500.jpg,,,SUMMER8,,,,,,3,Size,Age6/7,,1,1
5181,variation,,St James Summer Dress - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/St%20James%20summer%20Dress-500x500.jpg,,,SUMMER8,,,,,,4,Size,Age7/8,,1,1
5182,variation,,St James Summer Dress - Age8/9,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/St%20James%20summer%20Dress-500x500.jpg,,,SUMMER8,,,,,,5,Size,Age8/9,,1,1
5183,variation,,St James Summer Dress - Age9/10(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/St%20James%20summer%20Dress-500x500.jpg,,,SUMMER8,,,,,,6,Size,Age9/10(+£1.00),,1,1
5184,variation,,St James Summer Dress - Age10/11(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/St%20James%20summer%20Dress-500x500.jpg,,,SUMMER8,,,,,,7,Size,Age10/11(+£1.00),,1,1
5185,variation,,St James Summer Dress - Age11/12(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/St%20James%20summer%20Dress-500x500.jpg,,,SUMMER8,,,,,,8,Size,Age11/12(+£1.00),,1,1
5186,variation,,St James Summer Dress - Age12/13(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/St%20James%20summer%20Dress-500x500.jpg,,,SUMMER8,,,,,,9,Size,Age12/13(+£1.00),,1,1
5187,variable,SUMMER8,St James Summer Dress,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,15.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Primary Schools,St James School",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/summer%20dress/St%20James%20summer%20Dress-500x500.jpg,,,,,,,,,0,Size,"Age4/5,Age5/6,Age6/7,Age7/8,Age8/9,Age9/10(+£1.00),Age10/11(+£1.00),Age11/12(+£1.00),Age12/13(+£1.00)",1,1,1
