ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
2443,variation,,Unisex Kickers Hi Core Black Boot - 36,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,74.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,SHOE01,,,,,,1,SHOE SIZE (EURO),36,,1,1
2444,variation,,Unisex Kickers Hi Core Black Boot - 37,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,74.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,SHOE01,,,,,,2,SHOE SIZE (EURO),37,,1,1
2445,variation,,Unisex Kickers Hi Core Black Boot - 38,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,74.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,SHOE01,,,,,,3,SHOE SIZE (EURO),38,,1,1
2446,variation,,Unisex Kickers Hi Core Black Boot - 39,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,74.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,SHOE01,,,,,,4,SHOE SIZE (EURO),39,,1,1
2447,variation,,Unisex Kickers Hi Core Black Boot - 40(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,74.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,SHOE01,,,,,,5,SHOE SIZE (EURO),40(+£5.00),,1,1
2448,variation,,Unisex Kickers Hi Core Black Boot - 41(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,74.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,SHOE01,,,,,,6,SHOE SIZE (EURO),41(+£5.00),,1,1
2449,variation,,Unisex Kickers Hi Core Black Boot - 42(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,74.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,SHOE01,,,,,,7,SHOE SIZE (EURO),42(+£5.00),,1,1
2450,variation,,Unisex Kickers Hi Core Black Boot - 43(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,74.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,SHOE01,,,,,,8,SHOE SIZE (EURO),43(+£5.00),,1,1
2451,variation,,Unisex Kickers Hi Core Black Boot - 44(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,74.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,SHOE01,,,,,,9,SHOE SIZE (EURO),44(+£5.00),,1,1
2452,variation,,Unisex Kickers Hi Core Black Boot - 45(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,74.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,SHOE01,,,,,,10,SHOE SIZE (EURO),45(+£5.00),,1,1
2453,variable,SHOE01,Unisex Kickers Hi Core Black Boot,1,0,visible,For Boys and Girls (Unisex). Style: Kick Hi M & Y Core. Shoe code : 78. . ,For Boys and Girls (Unisex). Style: Kick Hi M & Y Core. Shoe code : 78. . ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,74.95,"Schoolwear,Schoolwear > Shoes",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20hi-500x500.jpg,,,,,,,,,0,SHOE SIZE (EURO),"36,37,38,39,40(+£5.00),41(+£5.00),42(+£5.00),43(+£5.00),44(+£5.00),45(+£5.00)",1,1,1
