ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
9949,variation,,Unisex Kickers LO Core Shoes - 36,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,64.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,SHOEU11,,,,,,1,SHOE SIZE (EURO),36,,1,1
9950,variation,,Unisex Kickers LO Core Shoes - 37,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,64.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,SHOEU11,,,,,,2,SHOE SIZE (EURO),37,,1,1
9951,variation,,Unisex Kickers LO Core Shoes - 38,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,64.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,SHOEU11,,,,,,3,SHOE SIZE (EURO),38,,1,1
9952,variation,,Unisex Kickers LO Core Shoes - 39,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,64.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,SHOEU11,,,,,,4,SHOE SIZE (EURO),39,,1,1
9953,variation,,Unisex Kickers LO Core Shoes - 40(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,64.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,SHOEU11,,,,,,5,SHOE SIZE (EURO),40(+£5.00),,1,1
9954,variation,,Unisex Kickers LO Core Shoes - 41(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,64.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,SHOEU11,,,,,,6,SHOE SIZE (EURO),41(+£5.00),,1,1
9955,variation,,Unisex Kickers LO Core Shoes - 42(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,64.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,SHOEU11,,,,,,7,SHOE SIZE (EURO),42(+£5.00),,1,1
9956,variation,,Unisex Kickers LO Core Shoes - 43(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,64.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,SHOEU11,,,,,,8,SHOE SIZE (EURO),43(+£5.00),,1,1
9957,variation,,Unisex Kickers LO Core Shoes - 44(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,64.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,SHOEU11,,,,,,9,SHOE SIZE (EURO),44(+£5.00),,1,1
9958,variation,,Unisex Kickers LO Core Shoes - 45(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,64.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,SHOEU11,,,,,,10,SHOE SIZE (EURO),45(+£5.00),,1,1
9959,variable,SHOEU11,Unisex Kickers LO Core Shoes,1,0,visible,Unisex Boys and Girls LO  Y & M Core Shoes. ,Unisex Boys and Girls LO  Y & M Core Shoes. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,64.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,St Michael's Catholic Grammar School",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/kickers%20lo-500x500.jpg,,,,,,,,,0,SHOE SIZE (EURO),"36,37,38,39,40(+£5.00),41(+£5.00),42(+£5.00),43(+£5.00),44(+£5.00),45(+£5.00)",1,1,1
