ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
2063,variation,,White  Blouse Long Sleeve (Open Neck) - 28,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse%20open%20neck%20long-500x500.jpg,,,R1,,,,,,1,Chest Size,28,,1,1
2064,variation,,White  Blouse Long Sleeve (Open Neck) - 30,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse%20open%20neck%20long-500x500.jpg,,,R1,,,,,,2,Chest Size,30,,1,1
2065,variation,,White  Blouse Long Sleeve (Open Neck) - 32(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse%20open%20neck%20long-500x500.jpg,,,R1,,,,,,3,Chest Size,32(+£3.00),,1,1
2066,variation,,White  Blouse Long Sleeve (Open Neck) - 34(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse%20open%20neck%20long-500x500.jpg,,,R1,,,,,,4,Chest Size,34(+£3.00),,1,1
2067,variation,,White  Blouse Long Sleeve (Open Neck) - 36(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse%20open%20neck%20long-500x500.jpg,,,R1,,,,,,5,Chest Size,36(+£4.00),,1,1
2068,variation,,White  Blouse Long Sleeve (Open Neck) - 38(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse%20open%20neck%20long-500x500.jpg,,,R1,,,,,,6,Chest Size,38(+£4.00),,1,1
2069,variation,,White  Blouse Long Sleeve (Open Neck) - 40(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse%20open%20neck%20long-500x500.jpg,,,R1,,,,,,7,Chest Size,40(+£4.00),,1,1
2070,variation,,White  Blouse Long Sleeve (Open Neck) - 42(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse%20open%20neck%20long-500x500.jpg,,,R1,,,,,,8,Chest Size,42(+£5.00),,1,1
2071,variation,,White  Blouse Long Sleeve (Open Neck) - 44(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse%20open%20neck%20long-500x500.jpg,,,R1,,,,,,9,Chest Size,44(+£5.00),,1,1
2072,variable,R1,White  Blouse Long Sleeve (Open Neck),1,0,visible,Twin Pack for Girls. ,Twin Pack for Girls. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,13.95,"Schoolwear,Schoolwear > Basic Schoolwear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse%20open%20neck%20long-500x500.jpg,,,,,,,,,0,Chest Size,"28,30,32(+£3.00),34(+£3.00),36(+£4.00),38(+£4.00),40(+£4.00),42(+£5.00),44(+£5.00)",1,1,1
