ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
10067,variation,,White Blouse Long Sleeve (twin pack) - 24,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,1,Chest Size,24,,1,1
10068,variation,,White Blouse Long Sleeve (twin pack) - 26(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,2,Chest Size,26(+£1.00),,1,1
10069,variation,,White Blouse Long Sleeve (twin pack) - 28(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,3,Chest Size,28(+£2.00),,1,1
10070,variation,,White Blouse Long Sleeve (twin pack) - 30(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,4,Chest Size,30(+£4.00),,1,1
10071,variation,,White Blouse Long Sleeve (twin pack) - 32(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,5,Chest Size,32(+£5.00),,1,1
10072,variation,,White Blouse Long Sleeve (twin pack) - 34(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,6,Chest Size,34(+£5.00),,1,1
10073,variation,,White Blouse Long Sleeve (twin pack) - 36(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,7,Chest Size,36(+£6.00),,1,1
10074,variation,,White Blouse Long Sleeve (twin pack) - 38(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,8,Chest Size,38(+£6.00),,1,1
10075,variation,,White Blouse Long Sleeve (twin pack) - 40(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,9,Chest Size,40(+£6.00),,1,1
10076,variation,,White Blouse Long Sleeve (twin pack) - 42(+£7.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,10,Chest Size,42(+£7.00),,1,1
10077,variation,,White Blouse Long Sleeve (twin pack) - 44(+£7.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,WB001,,,,,,11,Chest Size,44(+£7.00),,1,1
10078,variable,WB001,White Blouse Long Sleeve (twin pack),1,0,visible,Twin Pack. . ,Twin Pack. . ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,11.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Wren Academy Finchley (Secondary)",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/blouse-500x500.jpg,,,,,,,,,0,Chest Size,"24,26(+£1.00),28(+£2.00),30(+£4.00),32(+£5.00),34(+£5.00),36(+£6.00),38(+£6.00),40(+£6.00),42(+£7.00),44(+£7.00)",1,1,1
