ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
2024,variation,,White Blouse Short Sleeve (twin pack) - 24,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,1,Chest Size,24,,1,1
2025,variation,,White Blouse Short Sleeve (twin pack) - 26(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,2,Chest Size,26(+£1.00),,1,1
2026,variation,,White Blouse Short Sleeve (twin pack) - 28(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,3,Chest Size,28(+£2.00),,1,1
2027,variation,,White Blouse Short Sleeve (twin pack) - 30(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,4,Chest Size,30(+£4.00),,1,1
2028,variation,,White Blouse Short Sleeve (twin pack) - 32(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,5,Chest Size,32(+£5.00),,1,1
2029,variation,,White Blouse Short Sleeve (twin pack) - 34(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,6,Chest Size,34(+£5.00),,1,1
2030,variation,,White Blouse Short Sleeve (twin pack) - 36(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,7,Chest Size,36(+£6.00),,1,1
2031,variation,,White Blouse Short Sleeve (twin pack) - 38(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,8,Chest Size,38(+£6.00),,1,1
2032,variation,,White Blouse Short Sleeve (twin pack) - 40(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,9,Chest Size,40(+£6.00),,1,1
2033,variation,,White Blouse Short Sleeve (twin pack) - 42(+£7.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,10,Chest Size,42(+£7.00),,1,1
2034,variation,,White Blouse Short Sleeve (twin pack) - 44(+£8.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,10.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,WB002,,,,,,11,Chest Size,44(+£8.00),,1,1
2035,variable,WB002,White Blouse Short Sleeve (twin pack),1,0,visible,Short Sleeve. For Girls. ,Short Sleeve. For Girls. ,,,taxable,,1,50,0,0,.5,24,1,2,1,,,10.95,"Schoolwear,Schoolwear > Basic Schoolwear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/girls%20ss%20blouse-500x500.jpg,,,,,,,,,0,Chest Size,"24,26(+£1.00),28(+£2.00),30(+£4.00),32(+£5.00),34(+£5.00),36(+£6.00),38(+£6.00),40(+£6.00),42(+£7.00),44(+£8.00)",1,1,1
