ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
10037,variation,,White Shirt  - Long Sleeve (twin pack) - 11.5,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,1,Collar Size,11.5,,1,1
10038,variation,,White Shirt  - Long Sleeve (twin pack) - 12(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,2,Collar Size,12(+£1.00),,1,1
10039,variation,,White Shirt  - Long Sleeve (twin pack) - 12.5(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,3,Collar Size,12.5(+£2.00),,1,1
10040,variation,,White Shirt  - Long Sleeve (twin pack) - 13(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,4,Collar Size,13(+£4.00),,1,1
10041,variation,,White Shirt  - Long Sleeve (twin pack) - 13.5(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,5,Collar Size,13.5(+£5.00),,1,1
10042,variation,,White Shirt  - Long Sleeve (twin pack) - 14(+£5.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,6,Collar Size,14(+£5.00),,1,1
10043,variation,,White Shirt  - Long Sleeve (twin pack) - 14.5(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,7,Collar Size,14.5(+£6.00),,1,1
10044,variation,,White Shirt  - Long Sleeve (twin pack) - 15(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,8,Collar Size,15(+£6.00),,1,1
10045,variation,,White Shirt  - Long Sleeve (twin pack) - 15.5(+£6.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,9,Collar Size,15.5(+£6.00),,1,1
10046,variation,,White Shirt  - Long Sleeve (twin pack) - 16(+£7.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,10,Collar Size,16(+£7.00),,1,1
10047,variation,,White Shirt  - Long Sleeve (twin pack) - 16.5(+£7.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,11,Collar Size,16.5(+£7.00),,1,1
10048,variation,,White Shirt  - Long Sleeve (twin pack) - 17(+£9.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,12,Collar Size,17(+£9.00),,1,1
10049,variation,,White Shirt  - Long Sleeve (twin pack) - 17.5(+£9.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,11.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,WS001,,,,,,13,Collar Size,17.5(+£9.00),,1,1
10050,variable,WS001,White Shirt  - Long Sleeve (twin pack),1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,11.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Wren Academy Finchley (Secondary)",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/basic/Boys%20LG%20sleeve%20shirt-500x500.jpg,,,,,,,,,0,Collar Size,"11.5,12(+£1.00),12.5(+£2.00),13(+£4.00),13.5(+£5.00),14(+£5.00),14.5(+£6.00),15(+£6.00),15.5(+£6.00),16(+£7.00),16.5(+£7.00),17(+£9.00),17.5(+£9.00)",1,1,1
